Time,Input1,output1,Input2,output2,Input3,output3,Input4,output4,,
48.5,1.076162301,-0.983978404,-1.332706543,0.300731917,0.901929873,-0.004033607,-1.080528514,0.006934608,,
48.6,1.383312008,-1.007510902,-0.243338998,0.277530513,-3.291737095,0.042886437,1.009770271,-0.008737787,,
48.7,1.644149942,-1.006123865,0.728530395,0.251479818,-4.994283055,0.057350458,1.996584271,-0.014861968,,
48.8,1.645209603,-0.980070239,0.859102115,0.231154047,-2.917255168,0.028412354,0.801515492,-0.004745208,,
48.9,1.304593043,-0.93208793,0.021321535,0.217170047,1.36749327,-0.02202793,-1.269455634,0.010556911,,
49,0.898753936,-0.867538625,-1.253430789,0.201878088,4.617350065,-0.055798578,-1.953155796,0.014322231,,
49.1,0.907168026,-0.791696045,-2.142552137,0.174729523,4.372888384,-0.047342268,-0.502432153,0.002436076,,
49.2,1.543270208,-0.705896743,-2.068179117,0.129626185,0.819111955,-0.003058729,1.497353244,-0.012112121,,
49.3,2.397261958,-0.606471708,-1.045830555,0.069463882,-3.354552071,0.043539118,1.8608194,-0.013423968,,
49.4,2.596784789,-0.488944269,0.365106313,0.005134718,-4.989557969,0.057186889,0.190767681,-6.57E-05,,
49.5,1.464920134,-0.355408287,1.444640847,-0.050076544,-2.84856587,0.027556301,-1.68775644,0.013364595,,
49.6,-0.82084091,-0.219237615,1.752773822,-0.086989754,1.448164089,-0.022928781,-1.721887231,0.012190487,,
49.7,-3.151040191,-0.101996859,1.340384131,-0.104043421,4.648952336,-0.056062487,0.1256737,-0.002305052,,
49.8,-4.146541896,-0.022921165,0.625127105,-0.106264889,4.33150614,-0.046769663,1.835897437,-0.014281065,,
49.9,-3.114441035,0.012636825,0.06069672,-0.101132375,0.736062452,-0.002083005,1.539838214,-0.010649942,,
50,-0.575709494,0.017607731,-0.151536255,-0.09442186,-3.416418625,0.044179515,-0.438968155,0.004620207,,
50.1,2.05413718,0.016813685,-0.123509035,-0.08851938,-4.983422198,0.057007354,-1.938066718,0.014842109,,
50.2,3.402618821,0.0335928,-0.113052843,-0.083537613,-2.779071204,0.026692655,-1.319230938,0.00884526,,
50.3,3.00148706,0.078072751,-0.287507492,-0.079610496,1.528425473,-0.023822854,0.741270645,-0.00681692,,
50.4,1.464847926,0.144245949,-0.602628551,-0.078275595,4.679240223,-0.056310093,1.991705917,-0.015028638,,
50.5,-0.071934049,0.216544541,-0.868334914,-0.081998355,4.28889926,-0.046183391,1.065589513,-0.006816005,,
50.6,-0.759739978,0.28048362,-0.922096683,-0.092520077,0.652804843,-0.001106267,-1.025011377,0.008846068,,
50.7,-0.483397241,0.329959547,-0.75945656,-0.109581134,-3.477319264,0.044807791,-1.995471883,0.014842041,,
50.8,0.289551329,0.367822454,-0.524459005,-0.131067255,-4.975877478,0.056811983,-0.785265236,0.004619344,,
